urim	urim_datetime	tweet_datetime	tweet_delta	tweet_delta_insec	bio_datetime	bio_delta	bio_delta_insec	media_datetime	media_delta	media_delta_insec	ymlike_datetime	ymlike_delta	ymlike_delta_insec	whappen_datetime	whappen_delta	whappen_delta_insec
https://web.archive.org/web/20200702072407/https://twitter.com/realDonaldTrump	20200702072407	20200629174731	-3 days, 10:23:24	-221796	20200629174731	-3 days, 10:23:24	-221796	20200629174732	-3 days, 10:23:25	-221795	20200629174732	-3 days, 10:23:25	-221795	20200629174732	-3 days, 10:23:25	-221795
https://web.archive.org/web/20200521134443/https://twitter.com/realDonaldTrump?lang=hu	20200521134443	20200519012531	-3 days, 11:40:48	-217152	20200522112301	21:38:18	77898	20200519012533	-3 days, 11:40:50	-217150	20200522112303	21:38:20	77900	20200519012535	-3 days, 11:40:52	-217148
https://web.archive.org/web/20200521134050/https://twitter.com/realDonaldTrump?lang=sr	20200521134050	20200519012531	-3 days, 11:44:41	-216919	20200522112301	21:42:11	78131	20200519012533	-3 days, 11:44:43	-216917	20200522112303	21:42:13	78133	20200519012535	-3 days, 11:44:45	-216915
https://web.archive.org/web/20200702055141/https://twitter.com/realDonaldTrump	20200702055141	20200629174731	-3 days, 11:55:50	-216250	20200629174731	-3 days, 11:55:50	-216250	20200629174732	-3 days, 11:55:51	-216249	20200629174732	-3 days, 11:55:51	-216249	20200629174732	-3 days, 11:55:51	-216249
https://web.archive.org/web/20200922081024/https://twitter.com/realDonaldTrump?lang=cs	20200922081024	20200919204148	-3 days, 12:31:24	-214116	20200919204148	-3 days, 12:31:24	-214116	20200919204148	-3 days, 12:31:24	-214116	20200919204148	-3 days, 12:31:24	-214116	20200919204148	-3 days, 12:31:24	-214116
https://web.archive.org/web/20200922080636/https://twitter.com/realDonaldTrump?lang=pl	20200922080636	20200919204148	-3 days, 12:35:12	-213888	20200919204148	-3 days, 12:35:12	-213888	20200919204148	-3 days, 12:35:12	-213888	20200919204148	-3 days, 12:35:12	-213888	20200919204148	-3 days, 12:35:12	-213888
https://web.archive.org/web/20200521115425/https://twitter.com/realDonaldTrump?lang=sv	20200521115425	20200519012531	-3 days, 13:31:06	-210534	20200522112301	23:28:36	84516	20200519012533	-3 days, 13:31:08	-210532	20200522112303	23:28:38	84518	20200519012535	-3 days, 13:31:10	-210530
https://web.archive.org/web/20200521114515/https://twitter.com/realDonaldTrump?lang=uk	20200521114515	20200519012531	-3 days, 13:40:16	-209984	20200522112301	23:37:46	85066	20200519012533	-3 days, 13:40:18	-209982	20200522112303	23:37:48	85068	20200519012535	-3 days, 13:40:20	-209980
https://web.archive.org/web/20200626143356/https://twitter.com/realDonaldTrump	20200626143356	20200624044031	-3 days, 14:06:35	-208405	20200624044031	-3 days, 14:06:35	-208405	20200624044031	-3 days, 14:06:35	-208405	20200624044032	-3 days, 14:06:36	-208404	20200624044032	-3 days, 14:06:36	-208404
https://web.archive.org/web/20200626140348/https://twitter.com/realdonaldtrump	20200626140348	20200624044031	-3 days, 14:36:43	-206597	20200624044031	-3 days, 14:36:43	-206597	20200624044031	-3 days, 14:36:43	-206597	20200624044032	-3 days, 14:36:44	-206596	20200624044032	-3 days, 14:36:44	-206596
https://web.archive.org/web/20200702030334/https://twitter.com/realDonaldTrump?lang=he	20200702030334	20200629174731	-3 days, 14:43:57	-206163	20200629174731	-3 days, 14:43:57	-206163	20200629174732	-3 days, 14:43:58	-206162	20200629174732	-3 days, 14:43:58	-206162	20200629174732	-3 days, 14:43:58	-206162
https://web.archive.org/web/20200702013036/https://twitter.com/realdonaldtrump	20200702013036	20200629174731	-3 days, 16:16:55	-200585	20200629174731	-3 days, 16:16:55	-200585	20200629174732	-3 days, 16:16:56	-200584	20200629174732	-3 days, 16:16:56	-200584	20200629174732	-3 days, 16:16:56	-200584
https://web.archive.org/web/20200702013019/https://twitter.com/realdonaldtrump	20200702013019	20200629174731	-3 days, 16:17:12	-200568	20200629174731	-3 days, 16:17:12	-200568	20200629174732	-3 days, 16:17:13	-200567	20200629174732	-3 days, 16:17:13	-200567	20200629174732	-3 days, 16:17:13	-200567
https://web.archive.org/web/20200702012354/https://twitter.com/realdonaldtrump	20200702012354	20200629174731	-3 days, 16:23:37	-200183	20200629174731	-3 days, 16:23:37	-200183	20200629174732	-3 days, 16:23:38	-200182	20200629174732	-3 days, 16:23:38	-200182	20200629174732	-3 days, 16:23:38	-200182
https://web.archive.org/web/20200626113005/https://twitter.com/realdonaldtrump	20200626113005	20200624044031	-3 days, 17:10:26	-197374	20200624044031	-3 days, 17:10:26	-197374	20200624044031	-3 days, 17:10:26	-197374	20200624044032	-3 days, 17:10:27	-197373	20200624044032	-3 days, 17:10:27	-197373
